borough,violation_year,count_violation_by_date_borough
Bronx,2014,3146
Brooklyn,2014,5908
Manhattan,2014,5777
Outside NYC,2014,71
Queens,2014,4600
Staten Island,2014,1672
Unknown,2014,1719
Bronx,2015,3518
Brooklyn,2015,5753
Manhattan,2015,5956
Outside NYC,2015,50
Queens,2015,4922
Staten Island,2015,783
Unknown,2015,195
Bronx,2016,3658
Brooklyn,2016,7909
Manhattan,2016,6422
Outside NYC,2016,182
Queens,2016,5057
Staten Island,2016,957
Unknown,2016,89
Bronx,2017,4325
Brooklyn,2017,11058
Manhattan,2017,6424
Outside NYC,2017,241
Queens,2017,5119
Staten Island,2017,1167
Unknown,2017,43
Bronx,2018,3709
Brooklyn,2018,8516
Manhattan,2018,5918
Outside NYC,2018,239
Queens,2018,5656
Staten Island,2018,935
Unknown,2018,20
Bronx,2019,4010
Brooklyn,2019,9454
Manhattan,2019,8181
Outside NYC,2019,84
Queens,2019,6996
Staten Island,2019,1508
Unknown,2019,5
Bronx,2020,2484
Brooklyn,2020,3567
Manhattan,2020,3372
Outside NYC,2020,39
Queens,2020,3425
Staten Island,2020,401
Unknown,2020,79
Bronx,2021,149
Brooklyn,2021,168
Manhattan,2021,133
Outside NYC,2021,14
Queens,2021,168
Staten Island,2021,33
