violation_date,borough,count_violation_by_date_borough
1/2/2014,Bronx,35
1/2/2014,Brooklyn,34
1/2/2014,Manhattan,35
1/2/2014,Queens,25
1/2/2014,Staten Island,11
1/3/2014,Bronx,30
1/3/2014,Brooklyn,14
1/3/2014,Manhattan,7
1/3/2014,Queens,17
1/3/2014,Unknown,1
1/4/2014,Brooklyn,9
1/4/2014,Queens,11
1/5/2014,Bronx,5
1/5/2014,Brooklyn,10
1/5/2014,Queens,9
1/6/2014,Bronx,23
1/6/2014,Brooklyn,36
1/6/2014,Manhattan,43
1/6/2014,Queens,28
1/6/2014,Staten Island,18
1/7/2014,Bronx,46
1/7/2014,Brooklyn,28
1/7/2014,Manhattan,23
1/7/2014,Queens,27
1/7/2014,Staten Island,1
1/8/2014,Bronx,13
1/8/2014,Brooklyn,38
1/8/2014,Manhattan,65
1/8/2014,Queens,30
1/8/2014,Staten Island,11
1/8/2014,Unknown,27
1/9/2014,Bronx,32
1/9/2014,Brooklyn,35
1/9/2014,Manhattan,41
1/9/2014,Queens,27
1/9/2014,Staten Island,19
1/9/2014,Unknown,13
1/10/2014,Bronx,38
1/10/2014,Brooklyn,48
1/10/2014,Manhattan,39
1/10/2014,Queens,54
1/10/2014,Staten Island,11
1/10/2014,Unknown,16
1/11/2014,Bronx,26
1/11/2014,Brooklyn,5
1/11/2014,Queens,28
1/12/2014,Bronx,20
1/12/2014,Brooklyn,8
1/12/2014,Queens,11
1/12/2014,Unknown,2
1/13/2014,Bronx,17
1/13/2014,Brooklyn,13
1/13/2014,Manhattan,48
1/13/2014,Queens,13
1/13/2014,Staten Island,14
1/14/2014,Bronx,23
1/14/2014,Brooklyn,59
1/14/2014,Manhattan,25
1/14/2014,Queens,28
1/14/2014,Staten Island,1
1/15/2014,Bronx,4
1/15/2014,Brooklyn,10
1/15/2014,Manhattan,34
1/15/2014,Queens,65
1/15/2014,Staten Island,15
1/15/2014,Unknown,1
1/16/2014,Bronx,29
1/16/2014,Brooklyn,60
1/16/2014,Manhattan,70
1/16/2014,Queens,17
1/16/2014,Staten Island,21
1/16/2014,Unknown,22
1/17/2014,Bronx,32
1/17/2014,Brooklyn,69
1/17/2014,Manhattan,30
1/17/2014,Queens,44
1/17/2014,Staten Island,4
1/17/2014,Unknown,1
1/18/2014,Bronx,27
1/18/2014,Brooklyn,22
1/18/2014,Manhattan,3
